Page,Section,Path,Pass,Priority,Owner,Status,Review Questions,Notes
Splash / Shape Drawing,Core,index.html,2 - Page Review,High,Both,Not Started,"Does the shape interaction set the right tone? Is it clear what to do? Does it feel like us?",
About,Core,about.html,2 - Page Review,High,Both,Not Started,"Does this tell our story or just list facts? Do people understand what we actually do? Is the Kahran/Divya dynamic clear?",
Services,Core,services.html,2 - Page Review,High,Kahran,Not Started,"Are capabilities clear? Does it feel premium or generic? Is pricing/process implied well enough?",
AI Workshops,Core,ai-workshops.html,2 - Page Review,High,Kahran,Not Started,"Is the value prop distinct from services? Who is this for? Does it feel current?",
404 Page,Core,404.html,3 - Polish,Low,Kahran,Not Started,"Is it on-brand? Does it help people get back somewhere useful?",
Hub: Story,Hub,hub-story.html,2 - Page Review,High,Both,Not Started,"Does the editorial voice feel right? Do the content cards earn clicks? Is the hub-to-service bridge clear?",
Hub: Building,Hub,hub-building.html,2 - Page Review,High,Both,Not Started,"Same as Story hub. Does it feel distinct from the other hubs or repetitive?",
Hub: Behavior,Hub,hub-behavior.html,2 - Page Review,High,Both,Not Started,"Does this hub earn its existence? Is the topic framing clear to someone who doesn't know us?",
Hub: Creative,Hub,hub-creative.html,2 - Page Review,High,Both,Not Started,"Does this overlap too much with Story? What's the unique angle?",
Hub: Play,Hub,hub-play.html,2 - Page Review,Medium,Both,Not Started,"Is play as a concept landing? Does it connect to our work or feel like a side project?",
Hub: Games,Hub,hub-games.html,2 - Page Review,Medium,Both,Not Started,"Is this distinct enough from Play? Does it connect to game design services?",
Work: Index,Work,work/index.html,2 - Page Review,High,Both,Not Started,"Does the grid sell us? Is the ordering intentional? Do the thumbnails/titles make people want to click?",
Work: Tatsam,Work,work/tatsam.html,2 - Page Review,High,Kahran,Not Started,"Does the case study tell a story or just show deliverables? Is the client's problem clear?",
Work: Secret Senses,Work,work/secret-senses.html,2 - Page Review,High,Kahran,Not Started,"Same as above. Does it demonstrate our thinking or just our output?",
Work: Klydo,Work,work/klydo.html,2 - Page Review,High,Kahran,Not Started,"Same as above.",
Work: Pratham,Work,work/pratham.html,2 - Page Review,High,Kahran,Not Started,"Same as above.",
Work: ConveGenius,Work,work/convegenius.html,2 - Page Review,High,Kahran,Not Started,"Same as above.",
Work: Rachna Nivas,Work,work/rachna-nivas.html,2 - Page Review,High,Kahran,Not Started,"Same as above.",
Work: XTDB,Work,work/xtdb.html,2 - Page Review,High,Kahran,Not Started,"Same as above.",
Work: Gliitch,Work,work/gliitch.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Work: TomboyX,Work,work/tomboyx.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Work: Agemo,Work,work/agemo.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Thinking: Code as Material,Thinking,thinking/code-as-material.html,2 - Page Review,Medium,Both,Not Started,"Does the post earn its place? Is the connection to our work clear? Copy quality?",
Thinking: Why Your Nonprofit's Website Isn't Raising Money,Thinking,thinking/why-your-nonprofits-website-isnt-raising-money.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Thinking: The Two-Person Studio,Thinking,thinking/the-two-person-studio.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: What We Learned from Story vs Telling,Thinking,thinking/what-we-learned-from-story-vs-telling.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: Your Pitch Deck Is Not Your Story,Thinking,thinking/your-pitch-deck-is-not-your-story.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Thinking: Voice Versus Tone,Thinking,thinking/voice-versus-tone.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
